prometheus,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
prometheus,2025-05-08T07:10:18,3.38%,95.64,1256
prometheus,2025-05-08T07:10:35,2.36%,123.8,1812
prometheus,2025-05-08T07:10:51,0.82%,146.8,2152
prometheus,2025-05-08T07:11:08,0.78%,152.6,2336
prometheus,2025-05-08T07:11:24,1.33%,152.9,2532
prometheus,2025-05-08T07:11:41,0.20%,153.3,2724
prometheus,2025-05-08T07:11:57,0.60%,153.9,2836
prometheus,2025-05-08T07:12:14,0.39%,153.8,3044
prometheus,2025-05-08T07:12:30,0.64%,153.8,3196
prometheus,2025-05-08T07:12:47,0.00%,153.8,3376
prometheus,2025-05-08T07:13:03,0.00%,154.1,3520
prometheus,2025-05-08T07:13:20,0.97%,154.1,3712
prometheus,2025-05-08T07:13:36,1.63%,154.2,3900
prometheus,2025-05-08T07:13:53,0.00%,154.2,4048
prometheus,2025-05-08T07:14:10,1.70%,154.3,4216
prometheus,2025-05-08T07:14:26,1.22%,154.5,4400
prometheus,2025-05-08T07:14:43,0.21%,154.3,4584
prometheus,2025-05-08T07:14:59,0.93%,154.3,4708
prometheus,2025-05-08T07:15:16,0.29%,154.4,4908
prometheus,2025-05-08T07:15:32,0.95%,154.4,5072
prometheus,2025-05-08T07:15:49,0.55%,154.4,5236
prometheus,2025-05-08T07:16:05,1.26%,154.7,5388
prometheus,2025-05-08T07:16:22,0.74%,154.4,5584
prometheus,2025-05-08T07:16:38,0.88%,154.4,5780
prometheus,2025-05-08T07:16:55,0.66%,154.4,5896
prometheus,2025-05-08T07:17:11,0.45%,154.7,6104
prometheus,2025-05-08T07:17:28,0.44%,154.7,6268
prometheus,2025-05-08T07:17:45,0.93%,154.7,6448
prometheus,2025-05-08T07:18:01,0.63%,154.7,6576
prometheus,2025-05-08T07:18:18,0.95%,154.7,6768
prometheus,2025-05-08T07:18:34,0.66%,154.7,6956
prometheus,2025-05-08T07:18:51,1.19%,154.7,7108
prometheus,2025-05-08T07:19:07,0.82%,154.7,7264
prometheus,2025-05-08T07:19:24,0.85%,154.8,7456
prometheus,2025-05-08T07:19:40,0.39%,154.8,7656
prometheus,2025-05-08T07:19:57,0.61%,155.1,7772
prometheus,2025-05-08T07:20:13,0.70%,154.8,7968
prometheus,2025-05-08T07:20:30,0.60%,154.8,8128
prometheus,2025-05-08T07:20:46,0.00%,154.8,8316
prometheus,2025-05-08T07:21:03,0.30%,154.9,8456
prometheus,2025-05-08T07:21:20,1.90%,155.1,8644
prometheus,2025-05-08T07:21:36,1.07%,154.9,8836
prometheus,2025-05-08T07:21:53,0.21%,154.9,8984
prometheus,2025-05-08T07:22:09,1.80%,154.9,9144
prometheus,2025-05-08T07:22:26,0.94%,154.9,9340
prometheus,2025-05-08T07:22:42,0.37%,154.9,9524
prometheus,2025-05-08T07:22:59,0.86%,154.9,9648
prometheus,2025-05-08T07:23:15,0.22%,155,9856
prometheus,2025-05-08T07:23:32,1.15%,155,10012
prometheus,2025-05-08T07:23:48,0.43%,155,10180
prometheus,2025-05-08T07:24:05,1.06%,155,10324
prometheus,2025-05-08T07:24:21,0.87%,155,10524
prometheus,2025-05-08T07:24:38,0.57%,155,10728
prometheus,2025-05-08T07:24:54,0.29%,155,10848
