checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T14:58:48,42.38%,817.3,2648
monitoring,2025-05-09T14:59:04,0.54%,818.2,2648
monitoring,2025-05-09T14:59:21,20.90%,877.2,2648
monitoring,2025-05-09T14:59:37,9.33%,947,2648
monitoring,2025-05-09T14:59:54,2.21%,949.2,55568
monitoring,2025-05-09T15:00:10,224.61%,1142.78,113024
monitoring,2025-05-09T15:00:27,202.54%,1183.74,168976
monitoring,2025-05-09T15:00:44,192.86%,1221.63,226432
monitoring,2025-05-09T15:01:00,288.19%,1087.49,229456
monitoring,2025-05-09T15:01:17,276.18%,1153.02,229456
monitoring,2025-05-09T15:01:33,398.70%,1247.23,243040
monitoring,2025-05-09T15:01:50,395.55%,1247.23,295112
monitoring,2025-05-09T15:02:06,272.68%,1247.23,344920
monitoring,2025-05-09T15:02:23,382.80%,1196.03,396992
monitoring,2025-05-09T15:02:39,471.95%,1370.11,446800
monitoring,2025-05-09T15:02:56,659.84%,1324.03,548680
monitoring,2025-05-09T15:03:12,751.09%,1432.58,569056
monitoring,2025-05-09T15:03:29,689.61%,1574.91,569056
monitoring,2025-05-09T15:03:46,737.57%,1503.23,569056
monitoring,2025-05-09T15:04:02,632.28%,1361.92,569056
monitoring,2025-05-09T15:04:19,198.53%,1171.46,569056
monitoring,2025-05-09T15:04:35,730.10%,3425.28,569056
monitoring,2025-05-09T15:04:52,228.92%,1148.93,569056
monitoring,2025-05-09T15:05:08,655.65%,2052.1,569056
monitoring,2025-05-09T15:05:25,792.72%,2076.67,569056
monitoring,2025-05-09T15:05:41,342.72%,1163.26,569056
monitoring,2025-05-09T15:05:58,238.79%,1269.76,569056
monitoring,2025-05-09T15:06:14,98.90%,990.1,569056
monitoring,2025-05-09T15:06:31,186.38%,1098.75,569056
monitoring,2025-05-09T15:06:48,46.36%,991.4,569056
monitoring,2025-05-09T15:07:04,797.85%,2671.62,617376
monitoring,2025-05-09T15:07:21,26.54%,994.8,617376
monitoring,2025-05-09T15:07:37,1.80%,1011,1040176
monitoring,2025-05-09T15:07:54,0.44%,1025.02,1414656
monitoring,2025-05-09T15:08:10,163.24%,1081.34,1459872
monitoring,2025-05-09T15:08:27,787.10%,2620.42,1465524
monitoring,2025-05-09T15:08:43,2.00%,1041.41,1855512
monitoring,2025-05-09T15:09:00,0.47%,1054.72,2205936
monitoring,2025-05-09T15:09:17,0.45%,1054.72,2205936
monitoring,2025-05-09T15:09:33,269.05%,1195.01,2205936
monitoring,2025-05-09T15:09:50,0.38%,1056.77,2236136
monitoring,2025-05-09T15:10:06,618.03%,3534.85,2236136
monitoring,2025-05-09T15:10:23,18.42%,1063.94,2236136
monitoring,2025-05-09T15:10:39,331.74%,1216.51,2264396
